welfare_id,interest_topic_id
1,2
2,2
3,2
4,6
5,2
6,1
6,5
6,4
7,2
8,1
8,4
9,1
9,5
9,2
10,1
10,5
10,6
10,8
11,2
12,9
13,2
14,4
14,2
15,6
15,8
16,1
16,5
16,6
16,8
16,7
17,4
17,8
18,2
19,6
20,2
21,2
22,2
23,2
24,2
25,1
25,5
25,4
26,1
27,2
28,8
28,2
29,6
30,2
31,9
32,6
33,6
34,1
34,5
35,6
35,7
35,2
36,2
37,1
37,5
37,7
38,1
39,6
40,1
40,5
41,4
42,2
43,2
44,6
44,2
45,2
46,8
46,2
47,1
47,5
47,6
47,7
47,2
48,1
48,5
49,1
49,4
49,2
50,8
50,2
51,1
51,2
52,6
52,2
53,2
54,6
54,2
55,1
55,5
55,2
56,2
57,7
57,2
58,1
58,5
59,1
60,1
61,1
61,4
62,1
62,5
63,7
64,2
65,1
65,2
66,6
66,7
66,2
67,1
67,5
68,2
69,2
70,9
71,4
72,2
73,2
74,4
74,8
74,2
75,1
75,5
75,4
75,2
76,2
77,1
77,4
78,1
78,4
79,2
80,2
81,1
81,5
81,6
81,7
81,2
82,6
82,8
82,9
83,1
84,2
85,1
85,5
86,1
86,5
87,2
88,4
89,1
90,1
90,7
91,1
92,4
93,8
94,9
95,6
95,7
96,2
97,4
97,2
98,2
99,1
99,5
99,2
100,2
101,2
102,2
103,2
104,2
105,6
105,7
106,1
106,4
107,2
108,1
108,4
109,4
