id,center,serviceName,content,url,target,applyMethod,needDocument
110,사회복지법인 밀알복지재단,심장질환 및 희귀난치성질환 아동청소년 지원사업,"의료비, 의료소모품 및 의료보조기구, 생계비 등 (※단, 생계비 단독지원 불가)",,심장질환 및 희귀난치성질환을 진단받은 만23세 이하의 아동청소년,첨부파일 다운로드 후 신청서 작성하여 이메일 접수 (miral9135@miral.org),"세대 구성원 중 소득이 있거나 질병 및 장애가 있을 경우 증빙서류 제출(3. 소득증명서류, 4. 의료증명서류) - 부채증명원 1부(부채가 있는 경우)※ 모든 제출서류는 최근 3개월 이내 발급 서류만 인정"
111,한국사회복지공제회,사회복지시설 의무보험 (복지시설 손해배상책임공제),사회복지관련 기관에서 필수적으로 가입하고 있는 보험 - 제반경비 최소화로 동일한 보상한도의 경우 시중상품보다 저렴하게 구성하고 관련 법률과 지침의 규정사항을 충족하여 사고 발생 시 적정한 보상이 담보될 수 있도록 함,,사회복지사업법 제2조에 따른 사회복지법인 및 시설 (노인장기요양기관 등 일부 제외),가입문의 : (사)한국사회복지공제회 공제보험사업팀 (전화)02-3775-8836/8838,1. 사업자등록증 또는 고유번호증 2. 시설신고필증 3. 공제청약서
112,파라다이스 복지재단,정보통신 보조기기 보급사업,"보조기기 구입지원(80%, 기초/차상위는 90%)- 멀티터치모니터, 안경마우스, 턱마우스, 손가락마우스, 자판없는키보드, 키가드 등",http://paradise.or.kr,등록장애인 및 중상이등급 판정 국가유공자,홈페이지(http://paradise.or.kr),
113,한국소아암재단,외래치료비 지원사업,1년단 매달 25만원의 외래치료비 지원,,저소득 백혈병 소아암 환아,"우편접수(매년 11~12월 홈페이지 공고 참조, 서식-자료실)",
114,사회복지법인 한림화상재단,화상점프캠프,화상점프캠프- 참가비: 1만원,,화상을 경험한 아동 및 청소년(초등학교 3학년~고등학교 3학년),매년 5~7월 공고 - 방문 접수: 재단법인 한림화상재단 사회사업팀(신관 4층) -팩스: 02-2637-5767,신청서
115,건강가정지원센터,법원연계이혼상담,"이혼으로 인한 고통을 최소화하고 이혼 후 적응에 도움을 주고자, 건강가정지원센터에서는 법원과 연계하여 이혼상담을 진행- 이혼가정의 개인상담, 부부상담, 가족상담은 물론 부부집단상담 및 집단상담캠프 등이 포함- 부부간 소통과 이해를 촉진할 수 있는 교육 진행",,협의이혼 또는 재판이혼 진행중인 부부 및 가족들,수시 접수: 권역별 지역센터 문의(홈페이지 참조),
116,재단법인 한국백혈병어린이재단,소아암 환자 가발지원,"가발 1개(제작비 80만원, 하이모)",www.kclf.org,치료로 모발이 빠진 학령기(7세) 이상 소아암 및 이에 준하는 희귀난치성질환 환자- 치료 후유증으로 모발이 자라지 않는 만 30세 미만 치료종결자(19세 미만 소아암 및 희귀난치성질환 진단 받은 경우),"연중수시, 인터넷 신청(www.kclf.org)- 지원방법(각 지역별 지원접수처 홈페이지 참조)ㆍ서울: 02-745-7674, 7671, 02-766-7671ㆍ충청,호남: 061-375-7671ㆍ부산, 경남: 051-244-7677ㆍ경북, 강원: 053-253-7671",
117,건강가정지원센터,가족역량강화 지원,취약 한부모 가족역량강화 서비스- 위기가족지원 서비스- 조손가족통합지원 서비스,,취약 한부모가족- 위기가족- 조손가족,기타 접수: 센터에서 대상자 발굴,
118,월드휴먼브리지,출산용품 무료지원(모아사랑태교음악회),"필수 출산용품 12종, 태교음악회 제공",,출산용품 지원이 필요한 임산부,인터넷 다음카페 모아사랑 카페에서 각 지역별로 연중 접수 중,
119,하트하트재단,시력회복 의료비 지원,"시력회복 의료비 일체(각막이식, 인공수정체 삽입, 녹내장, 백내장, 사시교정, 의안삽입, 특수렌즈 제작 등) 1인당 최소 50만원 ~ 최대 200만원",,최저생계비 200%이하인 24세 이하 시력회복 의료비가 필요한 자,"공고시, 이메일 접수 및 병원 사회사업실 신청- 신청기간: 1월~8월","신청서, 자료활용동의서, 진단서/ 선택: 수급자증명서, 차상위 증명서, 건강보험료 납입확인서"
